companion_problem_id	theme	solution_provenance	problem_scope	quality_status	correctness	completeness	pedagogy	priority	finding	required_action
CP-III-0001	Measure and Integration	CANONICAL_AUTHORED	SOURCE_DEFECT	C_REWRITE	PARTIAL_OK	INCOMPLETE	WEAK	P1	The solution proves the Q/Cantor and countable-family finite-dimensional examples, but merely asserts the C([0,1]) genericity claims and omits the hyperplane case. It correctly notices that the literal union of all finite-dimensional subspaces is the whole space.	Rewrite as a structured example set; justify or explicitly cite every genericity claim, include the hyperplane case, and preserve the correction to the finite-dimensional wording.
CP-III-0002	Distribution Theory	CANONICAL_AUTHORED	CLEAN	A_STRONG	OK	COMPLETE	STRONG	P3	Correct Schwartz decay estimate, absolute convergence, and a controlling Schwartz seminorm prove continuity and temperedness.	Retain; copy-edit only.
CP-III-0003	Measure and Integration	CANONICAL_AUTHORED	CLEAN	A_STRONG	OK	COMPLETE	STRONG	P3	Generalized Holder and Minkowski are proved by standard complete arguments, including the zero case and endpoints.	Retain; optional endpoint notation polish.
CP-III-0004	Fourier Analysis	CANONICAL_AUTHORED	OVERMERGED	B_POLISH	OK	MOSTLY_COMPLETE	ADEQUATE	P2	Covers Plancherel, double transform, truncation, derivatives, sinc, convolution, and Yukawa, but several nontrivial steps are compressed to one-line assertions.	Expand F^2, continuity of f*g, the sinc transform, and the radial Yukawa calculation.
CP-III-0005	Fourier Analysis	CANONICAL_AUTHORED	CLEAN_MULTI_PART	B_POLISH	OK	MOSTLY_COMPLETE	ADEQUATE	P2	Correctly repairs the duplicated Fg typo in Plancherel and reaches the requested identities, but the long multi-part exercise is answered at summary level.	Expand each lettered subpart, especially sinc and convolution continuity, while retaining the source typo note.
CP-III-0006	Fourier Analysis	SOURCE_BACKED	OVERMERGED	D_BLOCKING	INCORRECT_MISMATCH	MISPAIRED	BLOATED	P0	The problem begins with D^alpha:H^{s+k}->H^s and then merges approximation, heat, and Schrodinger material. The paired solution is essentially a Schrodinger chapter and does not solve the full block. It also falsely states S(R^n)=intersection_s H^s; the intersection is H^infinity and is strictly larger than Schwartz.	Re-segment the overmerged problem into canonical exercises, then write matched solutions. Remove the false Schwartz/intersection claim.
CP-III-0007	Distribution Theory	CANONICAL_AUTHORED	CLEAN_EXAMPLE	A_STRONG	OK	COMPLETE	STRONG	P3	Heaviside and principal-value calculations are correct and proportionate.	Retain; copy-edit only.
CP-III-0008	Measure and Integration	CANONICAL_AUTHORED	EXPOSITORY	B_POLISH	OK_WITH_HYPOTHESES	MOSTLY_COMPLETE	ADEQUATE	P2	Fenchel-Young to Holder is clear; the Minkowski integral proof invokes L^p duality and Fubini/Tonelli without stating the range and integrability assumptions carefully.	State 1<p<infinity for duality, handle p=1 separately, and state the hypotheses justifying integral interchange.
CP-III-0009	Sobolev and PDE Methods	CANONICAL_AUTHORED	CLEAN_EXAMPLE	B_POLISH	OK_WITH_FORMAL_STEP	COMPLETE	ADEQUATE	P2	The Laplace fundamental-solution formula is correct under the intended normalization, but the singular frequency k=0 is treated formally and omega_n is not defined explicitly.	Add a distributional justification at k=0 and define omega_n consistently.
CP-III-0010	Measure and Integration	CANONICAL_AUTHORED	BLOATED_BUT_CLEAR	A_STRONG	OK	COMPLETE	STRONG	P3	Rigorous density proof via simple functions, regularity, rational rectangles, and rational coefficients; it correctly avoids the source's invalid uniform-on-small-rectangles idea.	Retain; later trim the oversized problem body.
