chapter_code	dossier_index	dossier_label	dossier_title	origin	source_file	source_block_id	source_selector	source_topic	provenance_note
I/01	1	prob:i01-dossier-01	A hidden dependence in three vectors	CORPUS_GUIDED	diagrams_01-13_tikz.tex	S02	Problem 7|Problem 8|Problem 9|Problem 10|Problem 11|Problem 12|Problem 13	Problems 7-13 vector/geometry diagrams	Topic guidance only; dossier statement and solution are newly written canonical content.
I/01	2	prob:i01-dossier-02	Changing the scalar field	CORPUS_GUIDED	theory-of-differential-geometry-3.tex	T01.SECTION	vector space|linear map|basis|eigen	mislabelled linear algebra	Topic guidance only; dossier statement and solution are newly written canonical content.
I/01	3	prob:i01-dossier-03	Polynomial coordinates without a basis theorem	CORPUS_GUIDED	theory-of-linear-algebra-1.tex	T01.SECTION	vector|linear combination|vector space	linear combinations and vector spaces	Topic guidance only; dossier statement and solution are newly written canonical content.
I/01	4	prob:i01-dossier-04	Affine but not linear	CORPUS_GUIDED	theory-of-differential-geometry-3.tex	T01.EXERCISE_CHILDREN	descendant-of(vector space|linear map|basis|eigen)	problem|exercise|solution|worked problem	Topic guidance only; dossier statement and solution are newly written canonical content.
I/01	5	prob:i01-dossier-05	Matrix units as building blocks	CORPUS_GUIDED	theory-of-differential-geometry-3.tex	T01.THEORY_CHILDREN	descendant-of(vector space|linear map|basis|eigen)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Topic guidance only; dossier statement and solution are newly written canonical content.
I/01	6	prob:i01-dossier-06	Functions as vectors	CORPUS_GUIDED	theory-of-linear-algebra-1.tex	T01.EXERCISE_CHILDREN	descendant-of(vector|linear combination|vector space)	problem|exercise|solution|worked problem	Topic guidance only; dossier statement and solution are newly written canonical content.
I/01	7	prob:i01-dossier-07	Convex versus affine combinations	CORPUS_GUIDED	theory-of-linear-algebra-1.tex	T01.THEORY_CHILDREN	descendant-of(vector|linear combination|vector space)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Topic guidance only; dossier statement and solution are newly written canonical content.
I/01	8	prob:i01-dossier-08	Complex linearity test	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/01	9	prob:i01-dossier-09	A parameterized linear combination	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/01	10	prob:i01-dossier-10	Why finite sums are enough	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/01	11	prob:i01-dossier-11	Direct verification from axioms	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/01	12	prob:i01-dossier-12	A geometric synthesis	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/02	1	prob:i02-dossier-01	Intersection and sum of planes	CORPUS_GUIDED	theory-of-linear-algebra-1.tex	T02.SECTION	subspace|span|linear independence	subspaces span independence	Topic guidance only; dossier statement and solution are newly written canonical content.
I/02	2	prob:i02-dossier-02	A union that fails	CORPUS_GUIDED	theory-of-linear-algebra-1.tex	T02.EXERCISE_CHILDREN	descendant-of(subspace|span|linear independence)	problem|exercise|solution|worked problem	Topic guidance only; dossier statement and solution are newly written canonical content.
I/02	3	prob:i02-dossier-03	Span from row reduction	CORPUS_GUIDED	theory-of-linear-algebra-1.tex	T02.THEORY_CHILDREN	descendant-of(subspace|span|linear independence)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Topic guidance only; dossier statement and solution are newly written canonical content.
I/02	4	prob:i02-dossier-04	Redundant generator	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/02	5	prob:i02-dossier-05	Subspace defined by a functional	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/02	6	prob:i02-dossier-06	Dependence with a parameter	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/02	7	prob:i02-dossier-07	Minimal spanning extraction	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/02	8	prob:i02-dossier-08	A nonlinear constraint	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/02	9	prob:i02-dossier-09	Independence of monomials	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/02	10	prob:i02-dossier-10	Sum not direct	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/02	11	prob:i02-dossier-11	Solving a dependence relation	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/02	12	prob:i02-dossier-12	Subspace synthesis	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/03	1	prob:i03-dossier-01	Basis test by uniqueness	CORPUS_GUIDED	theory-of-linear-algebra-1.tex	T03.SECTION	basis|bases|dimension	bases and dimension	Topic guidance only; dossier statement and solution are newly written canonical content.
I/03	2	prob:i03-dossier-02	Dimension of a constrained polynomial space	CORPUS_GUIDED	theory-of-linear-algebra-1.tex	T03.EXERCISE_CHILDREN	descendant-of(basis|bases|dimension)	problem|exercise|solution|worked problem	Topic guidance only; dossier statement and solution are newly written canonical content.
I/03	3	prob:i03-dossier-03	Extend an independent list	CORPUS_GUIDED	theory-of-linear-algebra-1.tex	T03.THEORY_CHILDREN	descendant-of(basis|bases|dimension)	definition|theorem|lemma|proposition|corollary|remark|warning|example	Topic guidance only; dossier statement and solution are newly written canonical content.
I/03	4	prob:i03-dossier-04	Reduce a spanning list	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/03	5	prob:i03-dossier-05	Dimension of symmetric matrices	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
I/03	6	prob:i03-dossier-06	Dimension formula in action	DEVISED_TO_COMPLETE_COVERAGE	-	-	-	-	Topic guidance only; dossier statement and solution are newly written canonical content.
